,Sentence1,Sentence2,Pair_ID,Sense1,Sense2,Verb,PairType
273,The archer shot the arrow.,The police shot the thief.,shoot0,propel projectile,kill with gun,shoot,different
274,The archer shot the arrow.,The director shot the scene.,shoot1,propel projectile,record on film,shoot,different
275,The archer shot the arrow.,The bullet shot the man.,shoot2,propel projectile,move very rapidly,shoot,different
276,The police shot the thief.,The director shot the scene.,shoot3,kill with gun,record on film,shoot,different
277,The police shot the thief.,The bullet shot the man.,shoot4,kill with gun,move very rapidly,shoot,different
278,The director shot the scene.,The bullet shot the man.,shoot5,record on film,move very rapidly,shoot,different
279,The archer shot the arrow.,The gunner shot the cannonball.,shoot6,propel projectile,propel projectile,shoot,same
280,The police shot the thief.,The robber shot the cop.,shoot7,kill with gun,kill with gun,shoot,same
281,The director shot the scene.,The photographer shot the wedding.,shoot8,record on film,record on film,shoot,same
282,The bullet shot the man.,The bullet shot the mannequin.,shoot9,move very rapidly,move very rapidly,shoot,same
283,The man shoved the woman.,The man shoved the child.,shove0,push harshly,push harshly,shove,same
284,The man slapped the door.,The referee slapped the boxer.,slap0,hit with a flat object,hit with a flat object,slap,same
285,The boyfriend stabbed the girlfriend.,The reporter stabbed the candidate.,stab0,"poke with sharp object, perhaps fatally, metaphorically try something","poke with sharp object, perhaps fatally, metaphorically try something",stab,same
286,The cat stretched the string.,The baker stretched the dough.,stretch0,"extend, lengthen","extend, lengthen",stretch,same
287,The man tossed the ball.,The pitcher tossed the ball.,toss0,"throw randomly or toss dough, glances, throw randomly, throwing, perhaps underhand or casually","throw randomly or toss dough, glances, throw randomly, throwing, perhaps underhand or casually",toss,same
288,The teacher understood the student.,The boy understood the words.,understand0,"understand, comprehending","understand, comprehending",understand,same
289,The writer wrote the novel.,The man wrote the book.,write0,set pen to paper,set pen to paper,write,same
